datetime,log key,log data
2018:10:02:23:20:15:788,281-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:20:16:802,282-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:20:17:805,283-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:20:18:807,284-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:20:19:808,285-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:20:20:821,286-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:20:21:822,287-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:20:22:838,288-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:20:23:848,289-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:20:24:849,290-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:20:25:851,291-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:20:26:866,292-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:20:27:880,293-Account-CheckCancel,cancelling = false, num orders=0
